考区,单位名称,单位层级,职位名称,专业要求,职位性质,职位简介,申论考试类别,报考人员身份要求,招录人数,基层工作年限要求,性别要求,最低学历要求,最高年龄要求,学位要求,户籍要求,职业资格证书等要求,其他招录条件及说明,最低服务年限要求,笔试最低开考比例,是否需体能测评,体检标准,咨询电话1,咨询电话2,年份,最低入面分数,行测成绩,申论成绩
长沙,中共长沙市委老干部局,市州直机关,文字综合,中国语言文学类,公务员,,,不限,1,2年以上,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188667071,,2021,,,
长沙,长沙市财政局,市州直机关,财政业务1,"经济学,财政学,金融学,经济与金融,会计学",公务员,,,不限,1,2年以上,男,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188665743,,2021,,,
长沙,长沙市财政局,市州直机关,财政业务2,"经济学,财政学,金融学,经济与金融,会计学",公务员,,,不限,1,2年以上,女,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188665743,,2021,,,
长沙,长沙市财政局,市州直机关,财政业务3,"经济学,财政学,金融学,经济与金融,会计学",公务员,,,2021届普通高校毕业生,1,不限,不限,大学本科,35周岁,学士,不限,不限,通过全国统一的高考或研究生入学考试，在国内普通高等学校或承担研究生教育任务的科研机构就读，且就读期间个人档案、组织关系保管在就读院校（或科研机构），于2021年7月31日前毕业的学生（应届博士毕业生可放宽到2021年12月31日前毕业）,5年,5:1,否,公务员录用体检通用标准,073188665743,,2021,,,
长沙,长沙市人力资源和社会保障局,市州直机关,计算机,"电子信息类,计算机类",公务员,,,不限,1,2年以上,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073184907937,,2021,,,
长沙,长沙市人力资源和社会保障局,市州直机关,文字综合1,"文史哲大类,法学大类",公务员,,,不限,1,2年以上,男,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073184907937,,2021,,,
长沙,长沙市人力资源和社会保障局,市州直机关,文字综合2,"文史哲大类,法学大类",公务员,,,不限,1,2年以上,女,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073184907937,,2021,,,
长沙,长沙市生态环境局,市州直机关,芙蓉分局财务管理,"会计学,财务管理,审计学",公务员,,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073188667869,073184683340,2021,,,
长沙,长沙市生态环境局,市州直机关,芙蓉分局综合业务管理,"化学类,环境与安全类,化工与制药类",公务员,从事生态环境管理工作,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073188667869,073184683340,2021,,,
长沙,长沙市生态环境局,市州直机关,天心分局综合业务管理,"化学类,环境与安全类,化工与制药类",公务员,从事生态环境管理工作,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,不限,5:1,否,公务员录用体检通用标准,073188667869,073185899732,2021,,,
长沙,长沙市生态环境局,市州直机关,岳麓分局综合业务管理,环境科学与工程类，环境与资源保护法学,公务员,从事生态环境管理工作,,不限,1,不限,不限,研究生,35周岁,硕士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188667869,073188999037,2021,,,
长沙,长沙市生态环境局,市州直机关,长沙县分局综合业务管理,"化学类,环境与安全类,化工与制药类",公务员,从事生态环境管理工作,,不限,1,不限,不限,大学本科,35周岁,学士,不限,不限,无,5年,5:1,否,公务员录用体检通用标准,073188667869,073184069642,2021,,,
